feature,SHAP_Importance
TT_21206,2.266841021334104
PDT_27040,0.22773310021162005
FT_28012,0.2096255927681923
TT_21210,0.1977240149661473
PT_21010,0.18553679802554
M_24000,0.18331217079980014
TT_31401,0.18310538335323354
TT_31602,0.173228612321445
VMT_24000,0.16159720345088416
TT_31601,0.16082961420774447
FT_28011,0.14184204460791183
VMT_21201,0.1373162336713928
PT_29008,0.1234603701591491
PT_31602,0.12023731794391355
PDT_21012,0.11835493610177725
VMT_24001,0.10553709656476963
TT_31452,0.10036847178731649
FT_28010,0.09425983227184843
FT_28003,0.08995993154798222
TT_33601,0.08563677241597842
PDT_27000,0.07878237716402321
TT_27040,0.07373446579728807
PT_21200,0.06221122890302113
PT_24001,0.054441178002016956
PT_21004,0.054397870670046054
PT_24000,0.04441342859370369
VMT_21200,0.02396941984960016
TT_33602,0.020649947538035247
PDT_27030,0.019330938726152675
PT_24003,0.013562280019351397
FT_27000,0.010684045672076089
TT_24006,0.010137683782236916
PT_31490,0.005832814825602944
PT_24099,0.005009709555080967
TT_24002,0.0
TT_31491,0.0
PT_29005,0.0
TT_21208,0.0
TT_33103,0.0
TT_34103,0.0
TT_27030,0.0
TT_24008,0.0
TT_24000,0.0
TT_24004,0.0
TT_21000,0.0
TT_21202,0.0
TT_21200,0.0
TT_27020,0.0
TT_21204,0.0
TT_24010,0.0
