feature,SHAP_Importance
TT_21206,4.081063285195316
TT_21210,0.363328659889357
TT_31401,0.20831548925621157
FT_28011,0.20266429755858034
PT_24001,0.18650436274783957
PT_29008,0.14988164790238664
VMT_21201,0.14961541826673924
TT_33601,0.12042885417359232
TT_31602,0.1193441574972016
TT_31452,0.10686960178204966
PT_24099,0.08592190550327297
TT_27040,0.08536402068836345
TT_24006,0.08056931191461425
FT_28010,0.07997837205971985
PT_21010,0.07489813059789803
PT_31602,0.07438580619811995
FT_28003,0.07381481382421078
PDT_27000,0.05946630519611491
FT_27000,0.058550152804510903
PDT_27030,0.05760356965439662
VMT_24000,0.05481389953494077
PDT_27040,0.05365562510967251
VMT_24001,0.052457475343431835
PT_21004,0.0500647352082389
PDT_21012,0.04735931087544982
PT_21200,0.03809025827169419
VMT_21200,0.028812832680940616
PT_24003,0.02710858419162886
PT_31490,0.018858650672095183
M_24000,0.014466696793351852
TT_33602,0.01364734133124351
FT_28012,0.012971251666205256
PT_24000,0.010768014240435199
TT_31601,0.008760222580943791
TT_21204,0.0
TT_24002,0.0
PT_29005,0.0
TT_21208,0.0
TT_27020,0.0
TT_24000,0.0
TT_24010,0.0
TT_21200,0.0
TT_27030,0.0
TT_24004,0.0
TT_31491,0.0
TT_24008,0.0
TT_34103,0.0
TT_21000,0.0
TT_21202,0.0
TT_33103,0.0
