feature,SHAP_Importance
FT_28003,0.4063940315384526
FT_28011,0.3458089049128122
M_24000,0.22970559308545951
TT_21210,0.22380387215188546
FT_28010,0.18818468961681648
VMT_21201,0.1874466427695756
TT_27040,0.14746686905196718
PDT_21012,0.13257699502996026
VMT_24001,0.12710294927205346
PT_24003,0.12191810286964679
PT_24001,0.11090896578039422
TT_21206,0.10335610370635978
PT_29008,0.09677091979231155
PT_31602,0.09415182499953675
TT_33601,0.09072644292388637
PT_21010,0.08076507111838875
VMT_21200,0.07310489649432046
TT_31452,0.06675251804590218
TT_31601,0.0654837290705952
PDT_27040,0.06150465707216939
PT_31490,0.04781673932313921
PT_24000,0.04583269534519748
VMT_24000,0.04018680436866618
PT_21004,0.03754710744942939
TT_24006,0.036852297979422945
TT_33602,0.026646051673207993
PT_21200,0.022702061235734372
PDT_27030,0.021419865796055104
TT_31401,0.020118151832989283
PT_24099,0.017989218239954547
TT_31602,0.01315736810939652
FT_27000,0.010742351060254248
FT_28012,0.009319577350105565
PDT_27000,0.008826746061188833
TT_21000,0.0
TT_24000,0.0
TT_27020,0.0
TT_21202,0.0
TT_24004,0.0
TT_27030,0.0
TT_21200,0.0
TT_24008,0.0
TT_34103,0.0
TT_24002,0.0
TT_33103,0.0
TT_21204,0.0
TT_24010,0.0
TT_21208,0.0
PT_29005,0.0
TT_31491,0.0
