feature,SHAP_Importance
TT_21206,1.6570792526388156
M_24000,0.2193785354118687
VMT_24000,0.2054592205299651
FT_28003,0.176210248592581
PT_24003,0.16062664851137554
TT_33601,0.12516087025846745
TT_21210,0.12174064911518771
VMT_24001,0.11121039887462336
TT_31602,0.07613001144579494
FT_28012,0.07045319522448952
FT_28011,0.06253034522073607
TT_31401,0.06162814786996157
VMT_21200,0.05476961561424393
PT_24001,0.05116315263288359
VMT_21201,0.050233012521948166
PT_24000,0.04938468364289834
PT_29008,0.04840399120892798
PDT_27030,0.038015487969432576
TT_31452,0.03799699460404259
TT_33602,0.03553226231830455
PDT_27000,0.03445785574521336
PDT_27040,0.02350651608007296
FT_27000,0.021973937873499744
PT_31490,0.020900487675326193
PDT_21012,0.02063580864736012
FT_28010,0.019730887282064978
PT_21200,0.019424030773128768
TT_24006,0.019404848061289105
PT_21010,0.01904937107545986
PT_31602,0.01812931061761721
TT_27040,0.011992826767308368
PT_21004,0.010861239875044126
TT_31601,0.008679085009949555
PT_24099,0.0057441226884296925
PT_29005,0.0
TT_21208,0.0
TT_24010,0.0
TT_33103,0.0
TT_24004,0.0
TT_24002,0.0
TT_31491,0.0
TT_21200,0.0
TT_27030,0.0
TT_34103,0.0
TT_24000,0.0
TT_27020,0.0
TT_21204,0.0
TT_21000,0.0
TT_21202,0.0
TT_24008,0.0
