feature,SHAP_Importance
TT_21206,1.4836585773372655
PDT_27030,0.1651259862743105
M_24000,0.14224310870136517
TT_31602,0.127886214511735
TT_27040,0.12722226860046398
VMT_24001,0.08529432235036565
PT_24000,0.08398921886886883
PT_24001,0.08286944101503912
FT_28003,0.06574557805333821
PT_24003,0.06263759214469362
PT_21010,0.062483804606028905
TT_31401,0.05693058215413771
PDT_27000,0.052369232093266035
VMT_21201,0.05193276494128368
PT_24099,0.05181706459726604
VMT_24000,0.051332778587341345
TT_21210,0.05108486434016907
TT_31452,0.04675404010738653
PT_31602,0.046085142272540486
TT_33602,0.044720020310197554
PT_21004,0.044421316186019376
FT_28010,0.043998429283414534
FT_27000,0.039435580331938676
PT_31490,0.03646893902029314
PDT_27040,0.032436861696924515
FT_28011,0.026672008726256205
FT_28012,0.024014451628753153
TT_24006,0.02132740769215994
PT_29008,0.018572487889017372
TT_33601,0.016548629332610552
TT_31601,0.011031130951813321
PT_21200,0.01024331683533533
PDT_21012,0.008695646269321447
VMT_21200,0.006703111848831213
TT_33103,0.0
TT_21208,0.0
PT_29005,0.0
TT_27030,0.0
TT_27020,0.0
TT_21000,0.0
TT_24000,0.0
TT_21200,0.0
TT_24008,0.0
TT_21204,0.0
TT_34103,0.0
TT_31491,0.0
TT_24004,0.0
TT_24010,0.0
TT_24002,0.0
TT_21202,0.0
